"","very","how","much","all","most","about","really","rather","quite","right","almost","actually","indeed","simply","especially","clearly","nearly","exactly","little","highly","fully","slightly","hardly","completely","relatively","largely","entirely","extremely","fairly","totally","absolutely","partly","widely","pretty","somewhat","perfectly","mostly","essentially","precisely","greatly","approximately","purely","sufficiently","roughly","barely","wholly","thoroughly","strictly","substantially","broadly","differently","fucking","positively","utterly","partially","half","terribly","dead","technically","vaguely","halfway","fundamentally","enormously","distinctly","incredibly"
"last",0.62887242555832,0,0.741684716044717,0.185377184277063,0,1.48658871820818,0,0,0,0.827565170624948,0,0.519710084219936,0.416366852058702,0,0,0,0,0.17141318439584,0,0,0,0.466677127082011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297739380343334,0,0,0,0,0,1.45220386104043,0.372577469001509,0.316768524563502,0,0,1.45778855636878,0,3.52902245198611,0,0,0,0,0,0,0
"other",0,0,0,1.86767795217116,0,1.30970811771612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"new",0,0,0,1.10230390848047,0,1.56914311458418,0,0,0,0,0,0,0,0,0,0,2.01653942690423,0,0,0,0,0,0.65394465160044,1.75428097051902,1.63986240034544,0,2.61696710350339,0,0.937704427735816,1.48361301177076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47400719061952,0,0,0,0,0,0.225858997510134,0,0,0,0,0,0,0,0,0,1.49623699381994,0,0.196206326282411,0
"good",0.861458097232205,0,0,0,0,0,0.888183435058388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06579442285802,0,0,0,0,1.56114761466356,0,0.332625196518039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"old",0.176935122413161,1.68334284321911,0,0,0,0.0985630189821693,0.24014949952092,0.49500486355156,0.000225407894550076,0,0,0,0,0,0,0,0,0,1.55725986375223,0,0,0,2.06728228029256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374550943868724,0,0,0,0,0,0,0.958538080674378,0,0,0,0.55534046379704,0,0,0,0,0,0,0,0.106446006718174,0
"great",0,1.43621679521556,0,0,0,0,2.01378600015311,0,0,0,0,0,0.786973578159794,0.871163323063354,0.139547666763213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856038694567318,0,0,0,0,0,0,0,0,0,0,0,0.0514679352342407,0,0,0,0,0,0,0,0,0.94217657864491,0,0,0,0,0,0,0,0,0,0,0,0,0
"high",0.72044246524571,0,0,0,0,0,0,0.236855363178243,0.0487150615978561,0,0,0,0,0,0.0568386091799145,0,0,0,0,0,0,0,0,0,1.91420767917025,0,0,1.47052157514538,0.742141311277752,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81434192478022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478985099135469,0,0.397715648868803
"small",0.683835238561468,0,0,0,0,0,0,0.972933115501873,0.297116818265806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56998184012441,0,0,0.57269482447251,0.750921559237962,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72915476732887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304596456206393
"different",0.0911408848582151,0,1.15205701510049,0,0,0,0,0.257809579460792,1.26055385429137,0,0,0,0,0,0,0,0,0,0.714182173428759,0,0,3.19823799549984,0,2.27064188233985,0,0,2.3311556392805,0,0,1.93756930630732,0,0,0.132312045866685,0,1.77805721503562,0,0,0.730396711885151,0,0,0,0,0,0,0,1.38329433268141,0,0,1.89706079111553,0,0,0,0,0.621684568295392,0,0,0,0,0,0,0,3.15689236632944,0,3.33360066577879,0
"large",0.810005296329306,0.0310740722511043,0,0,0,0,0,1.65806318805723,0.608337776575916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52380999855957,0,0,0.56247079466274,1.44250202030333,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79571835217415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611250410719433,0,0
