det(Mets-2, The-1)
nsubj(allowed-3, Mets-2)
root(ROOT-0, allowed-3)
det(glimpse-5, a-4)
dobj(allowed-3, glimpse-5)
poss(thinking-9, their-7)
nn(thinking-9, off-season-8)
prep_into(allowed-3, thinking-9)
tmod(allowed-3, Monday-10)
advmod(declined-13, when-11)
nsubj(declined-13, they-12)
nsubj(exercised-20, they-12)
advcl(allowed-3, declined-13)
nn(Looper-16, reliever-14)
nn(Looper-16, Braden-15)
poss(option-18, Looper-16)
dobj(declined-13, option-18)
advcl(allowed-3, exercised-20)
conj_and(declined-13, exercised-20)
dobj(exercised-20, that-21)
nn(Trachsel-24, Steve-23)
prep_of(that-21, Trachsel-24)

prepc_in(cleared-19, spending-2)
dobj(spending-2, $-3)
num($-3, 250,000-4)
aux(buy-6, to-5)
xcomp(spending-2, buy-6)
prt(buy-6, out-7)
poss(contract-13, Looper-8)
num(contract-13, $-10)
number($-10, 5.5-11)
number($-10, million-12)
dobj(buy-6, contract-13)
prep_for(contract-13, 2006-15)
det(Mets-18, the-17)
nsubj(cleared-19, Mets-18)
root(ROOT-0, cleared-19)
det(way-21, the-20)
dobj(cleared-19, way-21)
aux(pursue-23, to-22)
infmod(way-21, pursue-23)
dobj(pursue-23, one-24)
det(closers-30, the-26)
num(closers-30, two-27)
amod(closers-30, premier-28)
nn(closers-30, free-agent-29)
prep_of(one-24, closers-30)
poss(Wagner-35, Philadelphia-32)
nn(Wagner-35, Billy-34)
prep_of(one-24, Wagner-35)
conj_or(closers-30, Wagner-35)
poss(Ryan-40, Baltimore-37)
nn(Ryan-40, B.J.-39)
prep_of(one-24, Ryan-40)
conj_or(closers-30, Ryan-40)

nn(Minaya-5, Mets-1)
nn(Minaya-5, General-2)
nn(Minaya-5, Manager-3)
nn(Minaya-5, Omar-4)
nsubj(said-6, Minaya-5)
root(ROOT-0, said-6)
det(statement-9, a-8)
prep_in(said-6, statement-9)
complm(ruled-14, that-10)
nsubj(ruled-14, he-11)
aux(ruled-14, had-12)
neg(ruled-14, not-13)
ccomp(said-6, ruled-14)
prepc_out(ruled-14, re-signing-16)
dobj(re-signing-16, him-17)

cc(want-20, But-1)
det(Looper-4, the-2)
amod(Looper-4, 31-year-old-3)
nsubjpass(stripped-8, Looper-4)
nsubj(want-20, Looper-4)
xsubj(go-22, Looper-4)
auxpass(stripped-8, was-7)
rcmod(Looper-4, stripped-8)
poss(closer-11, his-10)
poss(duties-13, closer-11)
prep_of(stripped-8, duties-13)
prep_in(stripped-8, mid-September-15)
advmod(likely-18, most-17)
advmod(want-20, likely-18)
aux(want-20, would-19)
root(ROOT-0, want-20)
aux(go-22, to-21)
xcomp(want-20, go-22)
det(team-25, another-24)
prep_to(go-22, team-25)
det(closer-28, a-27)
prep_as(team-25, closer-28)

advmod(asked-2, When-1)
advcl(hard-27, asked-2)
prep_in(asked-2, September-4)
mark(consider-8, if-5)
nsubj(consider-8, he-6)
aux(consider-8, would-7)
advcl(asked-2, consider-8)
cop(man-12, being-9)
det(man-12, a-10)
nn(man-12, setup-11)
xcomp(consider-8, man-12)
mark(went-16, if-13)
det(Mets-15, the-14)
nsubj(went-16, Mets-15)
advcl(consider-8, went-16)
prep_after(went-16, Wagner-18)
nsubj(said-21, Looper-20)
dep(hard-27, said-21)
nsubj(hard-27, It-24)
aux(hard-27, would-25)
cop(hard-27, be-26)
root(ROOT-0, hard-27)
aux(say-29, to-28)
xcomp(hard-27, say-29)
dep(say-29, no-30)
nsubj('s-34, it-33)
conj_but(hard-27, 's-34)
advmod(prefer-39, definitely-35)
dep(prefer-39, not-36)
dobj(prefer-39, what-37)
nsubj(prefer-39, I-38)
dep('s-34, prefer-39)

nsubj(had-4, Looper-1)
nsubj(went-14, Looper-1)
rcmod(Looper-1, had-4)
amod(surgery-6, arthroscopic-5)
dobj(had-4, surgery-6)
poss(shoulder-10, his-8)
amod(shoulder-10, right-9)
prep_on(surgery-6, shoulder-10)
tmod(had-4, Oct.-11)
num(Oct.-11, 3-12)
root(ROOT-0, went-14)
nsubj(saves-18, 4-7-15)
prep_with(4-7-15, 28-17)
ccomp(went-14, saves-18)
advmod(saves-18, overall-19)
prep_in(blew-25, September-23)
nsubj(blew-25, he-24)
conj_but(went-14, blew-25)
quantmod(three-27, all-26)
dobj(blew-25, three-27)
poss(chances-31, his-29)
amod(chances-31, save-30)
prep_of(three-27, chances-31)
cop(0-1-34, was-33)
conj_but(went-14, 0-1-34)
conj_and(blew-25, 0-1-34)
det(9.95-37, a-36)
prep_with(0-1-34, 9.95-37)
partmod(9.95-37, earned-38)
nn(average-40, run-39)
dobj(earned-38, average-40)

