last,sup,neg
other,NA,NA
new,r,neg
good,r,pos
old,r,pos
great,hd,pos
high,r,pos
small,r,neg
different,min,neg
large,r,pos
local,?,?
social,NA,NA
long,r,pos
important,r,pos
young,r,neg
national,NA,NA
possible,min,pos
big,r,pos
right,max,pos
early,min,?
public,NA,NA
only,NA,NA
able,NA,NA
political,NA,NA
particular,NA,NA
full,max,pos
far,r,pos
late,min,?
available,NA,pos
little,r,neg
low,r,neg
bad,r,neg
main,NA,NA
major,NA,pos
economic,NA,NA
general,r,pos
real,max,pos
likely,r,pos
certain,max,pos
special,r,pos
difficult,r,neg
international,NA,NA
clear,max,pos
sure,max,pos
black,NA,NA
white,NA,NA
common,r,pos
strong,r,pos
whole,max,pos
free,max,neg
similar,min,pos
necessary,max,pos
central,r,pos
open,min,neg
short,r,neg
personal,NA,NA
single,NA,NA
easy,r,pos
private,NA,NA
financial,NA,NA
poor,r,neg
foreign,NA,NA
human,NA,NA
simple,r,neg
recent,r,neg
wide,r,pos
various,NA,NA
due,NA,NA
hard,r,pos
royal,NA,NA
fine,r,pos
natural,max,pos
wrong,r,neg
final,max,pos,
following,NA,NA
present,NA,NA
nice,r,pos
modern,max,pos
close,r,neg
current,NA,NA
legal,NA,NA
red,NA,NA
happy,r,pos
concerned,r,pos
individual,NA,NA
normal,max,pos
previous,NA,NA
serious,r,pos
significant,min,pos
prime,NA,NA
industrial,NA,NA
sorry,r,pos
left,NA,NA
dead,max,neg
specific,r,pos
total,max,pos
appropriate,min,pos
military,NA,NA
basic,max,pos
original,max,pos
successful,r,pos
aware,max,pos
popular,r,pos
professional,NA,NA
heavy,r,pos
top,NA,NA
dark,r,neg
ready,r,pos
useful,r,pos
effective,r,pos
future,NA,NA
traditional,r,pos
complete,max,pos
direct,r,pos
interesting,r,pos,
considerable,r,pos
physical,NA,NA
responsible,r,pos,
medical,NA,NA
hot,hd,pos
existing,NA,NA
cold,hd,neg
blue,NA,NA
green,NA,NA
independent,max,neg
extra,NA,NA
past,NA,NA,
beautiful,r,pos
civil,NA,NA
light,r,neg
essential,max,pos
obvious,max,pos
deep,r,pos
working,NA,NA
positive,r,pos
