HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31,Answer 32,Answer 33,Answer 34,Answer 35,Answer 36,Answer 37,Answer 38,Answer 39,Answer 40,Answer 41,Answer 42,Answer 43,Answer 44,Answer 45,Answer 46,Answer 47,Answer 48,Answer 49,Answer 50,Answer 51,Answer 52,Answer 53,Answer 54,Answer 55,Answer 56,Answer 57,Answer 58,Answer 59,Answer 60,Answer 61,Answer 62,Answer 63,Answer 64,Answer 65,Answer 66,Answer 67,Answer 68,Answer 69,Answer 70,Answer 71,Answer 72,Answer 73,Answer 74,Answer 75,Answer 76,Answer 77,Answer 78,Answer 79,Answer 80,Answer 81,Answer 82,Answer 83,Answer 84,Answer 85,Answer 86,Answer 87,Answer 88,Answer 89,Answer 90,Answer 91,Answer 92,Answer 93,Answer 94,Answer 95,Answer 96,Answer 97,Answer 98,Answer 99,Answer 100,Answer 101,Answer 102,Answer 103,Answer 104,Answer 105,Answer 106,Answer 107
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2WEEGOOGQSCMDACZLH5IZUU1J4OEE3,A1QV8ZY56E5TK,Approved,"Tue Feb 28 15:37:49 PST 2012","Tue Feb 28 15:43:05 PST 2012","""6""","""4""","""6""","""4""","""9""","""7""","""5""","""9""","""6""","""6""","""5""","""5""","""7""","""8""","""4""","""7""","""3""","""6""","""8""","""6""","""7""","""5""","""8""","""7""","""6""","""6""","""5""","""5""","""6""","""4""","""7""","""5""",true,"""8""","""8""","""5""","""6""","""4""","""5""","""5""","""7""","""8""","""6""","""5""","""5""","""""","""6""","""6""","""9""","""7""","""7""","""6""","""4""","""7""","""6""","""7""","""5""","""8""","""4""","""8""","""6""","""natural""","""7""","""5""","""5""","""7""","""4""","""5""","""5""","""F""","""9""","""6""","""8""","""7""","""4""","""7""","""7""","""5""","""5""","""6""","""8""","""4""","""6""","""8""","""6""","""8""","""8""","""6""","""5""","""5""","""6""","""7""","""9""","""6""","""2""","""9""","""5""","""6""","""6""","""8""","""9""","""5""","""5""","""9""","""6""","""6""","""2""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2Z4GJ2D21O3WCPJP2EGSN2KZX5K7DI,A2XM6C78S9L8UG,Approved,"Tue Feb 28 15:37:47 PST 2012","Tue Feb 28 15:44:25 PST 2012","""7""","""9""","""9""","""1""","""9""","""4""","""5""","""3""","""2""","""8""","""5""","""7""","""6""","""9""","""9""","""6""","""2""","""2""","""2""","""6""","""9""","""9""","""8""","""3""","""1""","""4""","""1""","""9""","""5""","""9""","""9""","""1""",true,"""6""","""3""","""8""","""7""","""4""","""4""","""1""","""9""","""2""","""1""","""9""","""8""","""6""","""2""","""9""","""2""","""3""","""9""","""8""","""9""","""7""","""9""","""9""","""4""","""none""","""9""","""6""","""9""","""9""","""8""","""3""","""1""","""6""","""5""","""8""","""9""","""9""","""1""","""9""","""9""","""6""","""9""","""9""","""grammatical""","""9""","""7""","""9""","""5""","""7""","""9""","""6""","""M""","""7""","""6""","""7""","""9""","""7""","""1""","""9""","""6""","""7""","""7""","""4""","""7""","""2""","""9""","""1""","""4""","""6""","""1""","""9""","""3""","""8""","""3""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2Q7L6VCPWZ9RU5Y77KSSCSN4W9E9OS,A2O040KR3U0LY2,Approved,"Tue Feb 28 15:38:35 PST 2012","Tue Feb 28 15:44:53 PST 2012","""7""","""9""","""9""","""2""","""9""","""9""","""8""","""4""","""2""","""2""","""7""","""9""","""9""","""9""","""9""","""6""","""3""","""7""","""1""","""5""","""9""","""9""","""8""","""9""","""7""","""3""","""3""","""8""","""8""","""5""","""8""","""2""",true,"""8""","""9""","""8""","""7""","""4""","""2""","""2""","""9""","""8""","""2""","""7""","""9""","""6""","""2""","""9""","""8""","""5""","""9""","""9""","""9""","""9""","""9""","""9""","""4""","""""","""9""","""9""","""9""","""9""","""9""","""5""","""2""","""8""","""7""","""8""","""9""","""7""","""6""","""9""","""9""","""4""","""8""","""9""","""grammatical""","""9""","""9""","""9""","""6""","""9""","""9""","""9""","""F""","""8""","""9""","""7""","""9""","""4""","""3""","""9""","""9""","""8""","""8""","""5""","""7""","""2""","""8""","""5""","""2""","""9""","""2""","""9""","""8""","""9""","""4""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",26CUDD8XMB3QA11PUVLTT6T5XBQPEZ,A2AKNQCQM49AOX,Approved,"Tue Feb 28 15:38:08 PST 2012","Tue Feb 28 15:45:46 PST 2012","""8""","""9""","""8""","""3""","""9""","""9""","""7""","""3""","""2""","""2""","""1""","""7""","""8""","""8""","""9""","""7""","""3""","""7""","""1""","""3""","""6""","""1""","""9""","""8""","""2""","""4""","""8""","""1""","""8""","""2""","""9""","""1""",true,"""7""","""9""","""9""","""8""","""1""","""1""","""1""","""9""","""4""","""1""","""8""","""6""","""None""","""9""","""8""","""9""","""1""","""9""","""8""","""9""","""9""","""9""","""6""","""9""","""9""","""6""","""9""","""9""","""grammatical""","""9""","""9""","""8""","""7""","""9""","""3""","""1""","""M""","""9""","""9""","""8""","""9""","""2""","""1""","""9""","""4""","""6""","""8""","""6""","""2""","""3""","""3""","""1""","""8""","""5""","""3""","""8""","""9""","""9""","""6""","""9""","""6""","""2""","""9""","""7""","""4""","""8""","""9""","""9""","""8""","""8""","""9""","""9""","""8""","""3""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2TX1Y7QEOZFYXK31BIDOKXREBKGHEM,AO3XB5I5QNNUI,Approved,"Tue Feb 28 15:39:45 PST 2012","Tue Feb 28 15:46:52 PST 2012","""9""","""9""","""8""","""5""","""9""","""9""","""7""","""6""","""7""","""3""","""6""","""8""","""7""","""9""","""9""","""8""","""5""","""9""","""3""","""8""","""7""","""8""","""6""","""6""","""5""","""8""","""9""","""6""","""6""","""5""","""8""","""2""",true,"""6""","""8""","""8""","""6""","""7""","""5""","""4""","""7""","""9""","""4""","""6""","""7""","""6""","""2""","""9""","""5""","""7""","""9""","""8""","""9""","""9""","""9""","""9""","""6""","""""","""8""","""9""","""9""","""9""","""9""","""5""","""4""","""8""","""6""","""7""","""9""","""6""","""7""","""9""","""9""","""6""","""8""","""9""","""grammatical""","""9""","""9""","""8""","""7""","""9""","""7""","""6""","""F""","""8""","""9""","""8""","""9""","""2""","""7""","""9""","""8""","""6""","""7""","""7""","""6""","""4""","""7""","""5""","""4""","""5""","""7""","""9""","""8""","""8""","""5""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2Y7XRDS4IC1E55PM24D16A2JEE2WZ7,A12O9P1OTMJOPW,Approved,"Tue Feb 28 15:40:14 PST 2012","Tue Feb 28 15:47:02 PST 2012","""8""","""8""","""6""","""4""","""8""","""8""","""6""","""4""","""2""","""2""","""7""","""7""","""6""","""7""","""8""","""4""","""2""","""3""","""2""","""2""","""5""","""5""","""4""","""4""","""5""","""4""","""8""","""4""","""5""","""3""","""9""","""2""",true,"""6""","""8""","""5""","""4""","""4""","""5""","""2""","""8""","""9""","""4""","""9""","""8""","""6""","""2""","""9""","""4""","""4""","""8""","""8""","""9""","""8""","""8""","""8""","""4""","""""","""9""","""8""","""9""","""7""","""9""","""5""","""2""","""7""","""7""","""7""","""8""","""8""","""6""","""8""","""9""","""3""","""9""","""8""","""natural""","""9""","""8""","""9""","""8""","""8""","""5""","""4""","""F""","""7""","""8""","""6""","""9""","""6""","""2""","""9""","""5""","""4""","""8""","""5""","""7""","""2""","""5""","""8""","""4""","""4""","""5""","""9""","""8""","""8""","""4""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2IPMB3Q39Z0BDMVDPIVE0STWA0EUJL,A2BL54QCB07I79,Approved,"Tue Feb 28 15:39:52 PST 2012","Tue Feb 28 15:47:44 PST 2012","""8""","""9""","""9""","""2""","""9""","""9""","""7""","""1""","""7""","""7""","""7""","""9""","""9""","""9""","""8""","""4""","""1""","""9""","""8""","""2""","""9""","""7""","""8""","""1""","""8""","""9""","""2""","""9""","""2""","""9""","""9""","""5""",true,"""9""","""9""","""9""","""9""","""7""","""9""","""1""","""9""","""9""","""7""","""9""","""9""","""6""","""2""","""9""","""2""","""2""","""9""","""9""","""9""","""9""","""8""","""9""","""5""","""No comments""","""9""","""9""","""9""","""9""","""9""","""2""","""2""","""8""","""9""","""9""","""9""","""8""","""9""","""9""","""9""","""2""","""9""","""9""","""natural""","""9""","""9""","""9""","""9""","""9""","""9""","""2""","""F""","""4""","""9""","""5""","""9""","""8""","""5""","""9""","""9""","""9""","""9""","""9""","""2""","""2""","""9""","""2""","""2""","""9""","""2""","""9""","""9""","""9""","""1""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2ZHSI2KYEPLSWZ794BXWO3OB06DTNY,A11OAINLOWQXGR,Approved,"Tue Feb 28 15:42:59 PST 2012","Tue Feb 28 15:48:47 PST 2012","""9""","""9""","""9""","""1""","""9""","""9""","""9""","""1""","""3""","""1""","""3""","""9""","""1""","""9""","""9""","""9""","""2""","""9""","""1""","""3""","""3""","""9""","""2""","""4""","""1""","""3""","""9""","""1""","""3""","""2""","""9""","""1""",true,"""1""","""9""","""2""","""1""","""1""","""1""","""1""","""9""","""3""","""1""","""9""","""6""","""6""","""2""","""9""","""1""","""2""","""9""","""9""","""9""","""9""","""9""","""9""","""3""","""""","""9""","""9""","""9""","""9""","""9""","""2""","""1""","""4""","""5""","""9""","""9""","""9""","""1""","""9""","""9""","""2""","""9""","""9""","""grammatical""","""9""","""9""","""5""","""9""","""9""","""9""","""9""","""F""","""9""","""5""","""4""","""9""","""1""","""1""","""6""","""9""","""9""","""7""","""9""","""3""","""1""","""3""","""4""","""2""","""4""","""1""","""9""","""9""","""9""","""1""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",24DRGNTBJ3MMKP748WE67KHCS2BV9G,A1IAC1SAII8YSO,Approved,"Tue Feb 28 15:44:22 PST 2012","Tue Feb 28 15:51:36 PST 2012","""7""","""9""","""7""","""2""","""9""","""9""","""4""","""2""","""3""","""8""","""7""","""4""","""3""","""8""","""8""","""7""","""2""","""5""","""3""","""4""","""6""","""2""","""5""","""5""","""3""","""3""","""4""","""8""","""2""","""7""","""8""","""8""",true,"""7""","""7""","""8""","""4""","""6""","""2""","""2""","""8""","""7""","""2""","""9""","""9""","""6""","""2""","""9""","""3""","""3""","""9""","""8""","""9""","""9""","""7""","""8""","""8""","""""","""8""","""4""","""9""","""9""","""9""","""3""","""2""","""7""","""9""","""8""","""7""","""9""","""6""","""8""","""9""","""7""","""9""","""9""","""natural""","""8""","""5""","""8""","""3""","""9""","""3""","""7""","""M""","""8""","""9""","""9""","""8""","""2""","""3""","""9""","""5""","""9""","""8""","""5""","""3""","""3""","""3""","""3""","""3""","""4""","""2""","""9""","""9""","""9""","""6""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2GYRLPHIT3HV32X91VTNOQ22QIYAIE,A3MWSVO26MJI82,Approved,"Tue Feb 28 15:44:03 PST 2012","Tue Feb 28 15:52:11 PST 2012","""9""","""9""","""4""","""2""","""9""","""9""","""9""","""3""","""2""","""1""","""1""","""8""","""9""","""9""","""8""","""5""","""1""","""6""","""3""","""3""","""8""","""6""","""9""","""1""","""9""","""2""","""1""","""9""","""9""","""1""","""9""","""1""",true,"""7""","""9""","""9""","""8""","""8""","""1""","""4""","""4""","""9""","""1""","""9""","""8""","""""","""9""","""9""","""9""","""1""","""9""","""9""","""9""","""9""","""9""","""7""","""9""","""9""","""6""","""9""","""9""","""natural""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""F""","""9""","""9""","""8""","""9""","""2""","""7""","""9""","""8""","""8""","""9""","""8""","""1""","""7""","""8""","""2""","""4""","""8""","""3""","""9""","""9""","""9""","""4""","""9""","""6""","""2""","""9""","""8""","""5""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""5""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2W6ZZ2MIKMN910RYHSZT1WXJM8T8PK,A1VI3FG24FKTVM,Approved,"Tue Feb 28 15:47:16 PST 2012","Tue Feb 28 15:52:42 PST 2012","""2""","""9""","""3""","""1""","""9""","""9""","""9""","""1""","""1""","""1""","""1""","""7""","""7""","""8""","""9""","""1""","""1""","""3""","""4""","""4""","""6""","""4""","""6""","""3""","""2""","""3""","""9""","""4""","""9""","""6""","""9""","""1""",true,"""6""","""8""","""8""","""4""","""1""","""1""","""1""","""2""","""6""","""4""","""9""","""9""","""6""","""2""","""9""","""2""","""3""","""9""","""9""","""9""","""9""","""8""","""8""","""3""","""no""","""9""","""9""","""9""","""9""","""9""","""3""","""1""","""9""","""9""","""6""","""9""","""9""","""4""","""4""","""9""","""3""","""9""","""9""","""natural""","""9""","""5""","""9""","""4""","""3""","""5""","""9""","""M""","""9""","""8""","""2""","""9""","""1""","""1""","""9""","""2""","""5""","""6""","""9""","""1""","""1""","""3""","""4""","""1""","""2""","""3""","""9""","""9""","""4""","""8""",
