[346$8],[462$9],[451$5],[283$8],[206$8],[144$3],[553$8],[575$8],[508$8],[399$6],[613$3],[146$9],[533$7],[93$8],[115$6],[168$7],[416$9],[242$6],[153$8],[70$9],[290$8],[362$7],[112$9],[628$2],[608$8],[315$9],[474$5],[528$8],[507$2],[605$7],[473$9],[615$4],TRUE,[516$9],[37$9],[461$9],[134$9],[564$3],[454$8],[160$5],[541$4],[247$3],[77$6],[92$3],[180$9],[-1$2],[47$8],[446$4],[50$6],[90$2],[131$9],[150$2],[600$6],[497$9],[167$6],[275$8],[675$7],[136$8],[48$4],[370$7],2,[357$5],[369$2],[592$8],[51$9],[484$4],[232$4],[126$8],[358$8],[334$3],[248$7],[152$2],[236$2],natural,[629$8],[-2$6],[581$6],[352$8],[574$4],[624$8],[403$3],F,[319$7],[450$5],[356$9],[246$6],[330$9],7,[435$6],[434$8],[17$2],[237$8],[203$3],[500$8],[312$7],[646$6],[241$7],[208$3],[441$4],[254$9],[354$8],[658$2],[179$5],[53$5],[499$6]
[437$1],[255$9],[600$8],[2$9],[441$3],[191$9],[320$3],[395$9],[561$9],[223$3],[683$9],[553$7],[146$8],[249$9],[597$6],[19$7],[211$3],[206$8],[430$9],[576$5],[0$9],[62$9],[153$9],[546$3],[89$9],[151$9],[626$7],[639$6],[31$6],[8$9],[509$7],[109$4],TRUE,[36$8],[563$8],[613$1],[614$6],[48$7],[467$5],[466$3],[488$9],[655$8],[77$6],[304$9],[388$3],[69$7],[55$8],[659$9],[-2$6],[-1$2],[335$8],[299$3],[18$9],[329$1],[135$3],[13$7],[393$5],[269$3],[311$1],[145$9],3,[473$7],[400$9],[333$5],[30$9],[554$3],[588$9],[248$7],[455$3],[234$8],[549$3],[684$8],[127$1],natural,[28$5],[57$3],[635$7],[533$7],[669$9],[496$7],[595$5],M,[173$5],[149$3],[96$3],[557$9],[71$2],25,[442$3],[226$7],[559$3],[110$7],[464$7],[556$8],[678$9],[606$1],[60$5],[243$9],[366$9],[159$9],[460$3],[50$2],[217$1],[658$2],[494$5]
[681$5],[414$4],[193$2],[415$3],[47$9],[205$1],[431$6],[327$7],[308$5],[665$8],[587$6],[645$7],[590$8],[236$6],[119$3],[463$5],[492$6],[439$5],[51$8],[139$9],[76$7],[277$9],[653$9],[133$9],[122$9],[272$5],[504$8],[354$8],[91$7],[378$9],[328$7],[260$6],TRUE,[-1$2],[575$8],[310$9],[547$6],[596$6],[231$9],[221$8],[421$7],[352$8],[487$7],[175$8],[360$7],[381$9],[634$4],[79$9],[43$3],[440$9],[262$9],[404$9],[24$6],[408$9],[382$9],[456$9],[499$6],[241$5],[562$8],[419$9],2,[171$3],[161$4],[583$6],[632$9],[75$4],[323$6],[316$9],[204$8],[61$4],[53$2],[130$8],[322$8],natural,[74$5],[604$8],[313$6],[631$9],[558$9],[476$9],[574$4],M,[-2$6],[371$9],[682$3],[548$5],[220$8],21,[525$4],[88$8],[326$8],[646$9],[482$9],[202$9],[305$9],[270$1],[203$2],[10$9],[462$8],[265$6],[244$8],[519$7],[571$7],[27$6],[5$8]
[306$7],[679$6],[352$9],[487$8],[136$9],[233$9],[508$9],[117$8],[593$4],[210$9],[332$9],[375$9],[182$2],[157$9],[556$9],[139$9],[-2$6],[41$9],[67$9],[589$8],[82$8],[339$7],[322$7],[6$9],[-1$2],[1$1],[286$8],[218$9],[453$8],[629$9],[33$1],[559$9],TRUE,[376$9],[380$8],[537$9],[320$6],[288$7],[585$9],[95$9],[526$8],[517$3],[212$9],[405$9],[544$8],[675$9],[570$2],[177$9],[412$1],[228$1],[591$9],[451$6],[669$9],[384$7],[225$6],[636$9],[53$2],[2$9],[598$6],[500$9],4,[547$3],[226$9],[8$9],[52$9],[373$9],[416$9],[186$9],[240$9],[229$9],[396$2],[224$9],[167$8],natural,[387$9],[281$1],[509$3],[631$9],[413$1],[345$9],[92$6],F,[485$9],[505$1],[271$9],[141$9],[625$9],44,[330$9],[192$2],[138$9],[303$9],[419$9],[458$7],[401$1],[344$1],[38$2],[203$2],[311$2],[111$8],[289$9],[84$9],[81$1],[456$9],[79$9]
[663$5],[321$7],[16$9],[447$9],[309$6],[225$2],[102$8],[33$2],[411$7],[680$8],[155$4],[446$7],[263$5],[507$3],[1$2],[257$9],[123$8],[617$4],[577$1],[282$3],[172$2],[627$9],[591$9],[38$2],[458$6],[434$9],[608$9],[522$9],[432$9],[651$7],[594$4],[529$9],TRUE,[291$7],[338$9],[357$6],[516$8],[-2$6],[429$7],[165$3],[677$9],[44$9],[385$5],[11$1],[451$7],[643$9],[46$9],[214$9],[477$8],[612$4],[647$9],[560$9],[523$4],[103$8],[465$7],[373$6],[598$3],[592$2],[147$5],[350$9],2,[54$9],[245$9],[412$2],[150$4],[229$5],[685$9],[503$1],[601$9],[232$3],[540$7],[59$3],[40$9],natural,[63$9],[162$8],[423$7],[535$9],[564$3],[660$2],[450$7],M,[545$2],[177$3],[312$8],[405$9],[459$7],26,[56$8],[182$3],[-1$2],[355$3],[215$8],[567$3],[306$3],[457$9],[454$5],[250$9],[568$5],[386$6],[64$2],[300$9],[668$4],[607$5],[158$8]
[182$2],[300$9],[140$8],[498$3],[403$7],[313$2],[450$4],[595$9],[546$2],[163$7],[311$3],[445$7],[173$5],[31$6],[563$3],[289$3],[547$2],[465$7],[429$2],[605$8],[85$7],[347$9],[522$7],[604$8],[388$3],[126$8],[646$3],[95$3],[43$6],[343$3],[457$2],[159$8],TRUE,[10$7],[543$3],[495$3],[466$4],[80$6],[342$8],[575$4],[79$8],[52$7],[530$7],[432$7],[365$3],[26$2],[463$5],[15$6],[418$8],[374$3],[371$7],[514$6],[197$3],[661$3],[281$3],[641$2],[21$3],[456$3],[492$4],[352$8],2,[242$3],[397$6],[358$6],[481$6],[501$2],[-2$6],[267$7],[107$6],[30$7],[670$8],[664$4],[-1$2],natural,[20$4],[114$3],[387$7],[356$7],[653$8],[348$7],[5$7],M,[186$6],[627$2],[636$9],[489$3],[467$3],29,[622$8],[368$4],[210$8],[585$8],[578$4],[299$2],[82$6],[683$8],[417$4],[42$7],[628$2],[16$6],[548$3],[45$3],[375$3],[402$2],[654$2]
[455$1],[263$8],[283$8],[413$1],[245$9],[492$1],[435$9],[321$9],[567$5],[44$9],[506$1],[158$9],[675$9],[100$3],[613$3],[508$9],[229$7],[531$8],[520$1],[594$8],[51$7],[646$3],[-2$6],[510$1],[419$8],[515$3],[199$8],[128$9],[111$7],[218$8],[87$3],[171$1],TRUE,[526$3],[110$7],[672$9],[431$3],[196$5],[327$7],[13$9],[108$1],[231$9],[593$2],[472$1],[300$9],[448$2],[502$4],[21$1],[198$6],[581$7],[94$9],[337$9],[559$5],[538$9],[179$2],[681$1],[624$8],[660$1],[433$9],[212$8],2,[496$9],[338$9],[621$7],[444$9],[244$9],[666$9],[483$9],[40$9],[583$8],[168$9],[49$9],[156$9],natural,[241$7],[262$9],[193$1],[127$1],[107$4],[388$1],[194$1],M,[348$8],[270$1],[1$2],[181$8],[466$1],35,[473$9],[81$1],[57$1],[403$1],[286$9],[84$8],[121$1],[584$9],[407$9],[452$9],[314$1],[536$9],[59$1],[67$9],[183$8],[-1$2],[429$1]
[136$9],[356$9],[48$9],[600$9],[152$9],[574$1],[150$1],[160$2],[246$9],[474$7],[575$9],[180$9],[247$1],[334$9],[50$9],[167$9],[581$9],[450$9],[354$9],[77$9],[605$9],[528$8],[330$9],[206$9],[533$9],[346$9],[208$7],[203$2],[369$5],[462$9],[254$9],[362$5],TRUE,[516$9],[275$7],[403$5],[399$9],[315$9],[615$3],[358$8],[507$2],[508$9],[90$9],[608$8],[319$9],[112$9],[290$9],[370$9],[500$9],[541$5],[134$9],[53$8],[-1$2],[168$9],[312$9],[592$9],[248$9],[126$9],[441$8],[497$9],2,[47$9],[658$5],[283$9],[179$9],[564$2],[553$9],[357$8],[241$9],[613$2],[93$9],[153$9],[17$9],natural,[131$9],[416$9],[675$9],[628$1],[624$9],[446$8],[144$6],F,[629$6],[37$9],[352$9],[473$9],[232$8],7,[499$9],[236$9],[646$9],[242$7],[434$9],[451$9],[70$9],[51$9],[146$9],[484$8],[435$9],[92$9],[-2$6],[461$9],[454$9],[115$9],[237$9]
[246$9],[379$9],[617$9],[203$3],[622$9],[593$8],[682$7],[495$9],[614$9],[252$8],[82$9],[217$2],[419$9],[284$9],[630$9],[560$9],[255$9],[95$8],[60$8],[451$9],[146$9],[667$7],[623$2],[-2$6],[6$8],[491$3],[52$9],[549$6],[482$9],[223$9],[526$7],[493$9],TRUE,[325$9],[635$9],[555$4],[658$6],[62$9],[435$9],[285$7],[530$9],[475$9],[2$9],[16$9],[607$9],[272$5],[294$9],[480$9],[641$8],[17$5],[542$9],[20$5],[373$9],[537$7],[681$6],[478$2],[22$8],[663$4],[506$3],[401$2],3,[522$9],[41$9],[273$9],[520$9],[447$9],[32$9],[189$9],[238$9],[407$9],[154$6],[166$2],[276$8],natural,[109$3],[414$3],[365$2],[499$9],[371$9],[647$9],[205$3],F,[277$9],[538$9],[684$9],[74$3],[44$9],15,[-1$2],[594$9],[268$9],[98$9],[413$3],[332$6],[229$9],[131$9],[391$9],[497$9],[570$4],[73$2],[156$9],[376$9],[197$8],[48$9],[176$9]
[221$9],[48$1],[11$1],[110$9],[196$2],[558$9],[527$3],[171$3],[493$9],[297$6],[277$8],[194$1],[394$9],[139$9],[613$1],[416$9],[98$9],[505$1],[212$5],[62$9],[404$9],[588$7],[252$7],[105$8],[607$9],[195$8],[585$9],[501$4],[214$9],[264$8],[357$3],[592$8],TRUE,[262$9],[374$5],[598$9],[434$9],[610$4],[463$9],[298$8],[335$9],[16$2],[333$3],[183$4],[244$4],[670$3],[80$9],[265$9],[466$1],[-1$2],[97$1],[251$7],[353$7],[400$9],[447$9],[568$9],[65$1],[4$9],[638$5],[677$9],5,[543$1],[441$1],[288$1],[165$9],[343$1],[250$3],[64$3],[6$9],[499$6],[369$1],[576$9],[217$1],natural,[36$4],[173$9],[546$5],[199$9],[609$9],[311$1],[567$5],F,[649$9],[21$1],[229$9],[132$9],[522$9],0,[276$5],[475$9],[-2$6],[398$1],[372$1],[473$9],[603$1],[411$5],[74$1],[615$1],[13$9],[18$9],[116$9],[464$9],[242$3],[624$4],[256$9]
