"","very","how","much","all","most","about","really","rather","quite","right","almost","actually","indeed","simply","especially","clearly","nearly","exactly","little","highly","fully","slightly","hardly","completely","relatively","largely","entirely","extremely","fairly","totally","absolutely","partly","widely","pretty","somewhat","perfectly","mostly","essentially","precisely","greatly","approximately","purely","sufficiently","roughly","barely","wholly","thoroughly","strictly","substantially","broadly","differently","fucking","positively","utterly","partially","half","terribly","dead","technically","vaguely","halfway","fundamentally","enormously","distinctly","incredibly"
"last",0.62887242555832,-1.45878327206406,0.741684716044717,0.185377184277063,-3.26237149856652,1.48658871820818,-1.24667297132567,-1.74598280792929,-2.56670480601096,0.827565170624948,-0.665120446374933,0.519710084219936,0.416366852058702,-0.797485598971646,-0.37927413391985,-0.805154253542423,-0.183912385024746,0.17141318439584,-0.512466168469802,-4.92968847076482,-3.20399392575037,0.466677127082011,-0.149440539672453,-2.31686940420106,-3.96760214839096,-3.26627509633299,-2.65345185252859,-3.04026548532488,-2.76271865814674,-2.35396884851733,-0.8769635389094,-2.47076290276453,-2.95921788118271,-3.08977350376302,-1.24964644160273,-1.86588332690251,-1.96843224988184,-1.41799431863557,-0.9217050100834,-1.04675901884218,-0.258496090044365,0,-3.23154745502064,-0.449434135811501,0.297739380343334,0,-1.14949370383365,-2.77947836984151,-0.446877324428698,-2.01431575088214,1.45220386104043,0.372577469001509,0.316768524563502,-2.67855256515556,-2.98186203973346,1.45778855636878,-0.715580642647407,3.52902245198611,-1.13776042294812,0,-0.471093380254577,-0.791691261080618,-1.85861861356995,-1.89429565457828,-3.95433051636069
"other",-6.82627520551643,-1.04391302153298,-0.848659927700006,1.86767795217116,-0.405369591405825,1.30970811771612,-5.18182276963755,-3.75769638519128,-3.67088968066454,-2.10053037504388,-4.32449601947383,-3.29596481244265,-0.534650654136942,-3.56722439078164,-2.35972642985732,-2.42111133356326,-5.30068289394312,-4.13171194630618,-1.93520666687207,-7.07994948162355,-5.79797465834752,-4.54889535534365,-4.67917074278505,-3.41011485200302,-8.01629123670151,-4.70872160621809,-2.8140440375803,-8.01936241739642,-6.86957754431811,-3.44041317744593,-4.6640306104691,-3.98367567563224,-6.82704282003043,-6.828494573505,-4.33160319538942,-5.69268279892953,-2.8993372294496,-3.82130174005151,-3.70237402679943,-5.43359769496536,-4.69302750907986,-5.17032820808498,-6.12938055833742,0,-5.56603217681223,-0.63422098036452,-4.90705732516439,-5.72103392158445,-5.1795987439798,-5.14494433299891,-1.42418490125372,-1.98506621950138,-3.56528427445351,-3.48043556887663,-4.64620617096609,-2.35174410152758,-5.82766598187925,-3.37547011561983,-5.27284386864435,0,0,-4.19666676749508,0,-3.39968228090559,0
"new",-2.15110884629194,-0.938106356253233,-0.112449344903611,1.10230390848047,-1.85088877560174,1.56914311458418,-1.44024477687437,-0.517840161131146,-1.03722530798465,-1.10459581458226,-0.252094760114276,-1.64053869123411,-0.828175217642342,-2.17828211010117,-0.826354263984617,-2.38305645350131,2.01653942690423,-0.15527541512345,-0.807149793042898,-6.38042510555501,-3.52368542399512,-1.28503734180291,0.65394465160044,1.75428097051902,1.63986240034544,-1.90701290687172,2.61696710350339,-3.41356604780161,0.937704427735816,1.48361301177076,-0.645281701986776,-1.82369504156256,-6.12424613571417,-0.901026474669151,-0.69417083452389,-2.20054579062578,-0.824664106214856,-0.383261206028413,-2.20189761950957,-5.28642774687146,-3.12547629053755,-3.10410592699186,-2.22176635081428,-4.6006740859448,-2.59563240747472,1.47400719061952,-1.93725369382612,-2.64428922646532,-0.895887211858722,-4.41065690393623,-1.49206291977554,0.225858997510134,-1.91664333862649,-0.551097322616693,-2.08781157461106,-1.54601796528685,-1.14283710122388,-0.765717752564314,-2.54046352180176,-1.45702199649722,-2.41530593884507,1.49623699381994,0,0.196206326282411,-3.30970243311414
"good",0.861458097232205,-0.222461027367953,-0.411016912670213,-1.19734146825253,-4.12760154567908,-1.94172944278958,0.888183435058388,-0.86033467808079,-0.150346354610014,-2.20360143908594,-3.20918410662379,-0.978281686256888,-1.19824905066389,-1.79975387844964,-0.353920372781672,-2.98809661237461,-1.93983804762926,-2.42296995303135,-2.01975028695026,-7.4444565680875,-6.07921000805099,-4.386420980893,-2.29502852461059,-4.63037593071399,-1.46492057274539,-3.92649825159897,-3.35867681944472,-1.07743236089285,0.06579442285802,-3.79881877662803,-3.6503709814163,-3.78368403699675,-3.94436118322247,1.56114761466356,-2.84557435469902,0.332625196518039,-1.56971776018943,-1.69391614206524,-3.75016886194477,-4.85498735020789,-4.29520991793421,-2.96896577102308,-1.68854170638202,-4.7958413200833,-2.97005147645478,-1.91533743664979,-1.13897803537464,-5.1679652485177,-4.25500558950829,-4.40617520785691,-3.54769001906833,-1.61167643195857,-1.6061455763935,-3.99552986350401,-3.75610637654146,-2.82408320640398,-0.76331124172976,-0.736463541987643,-1.62444926337836,-3.01566965111852,-1.48213972642156,-1.30026523782435,-2.6676469415087,-3.11892864102074,-0.967275450228925
"old",0.176935122413161,1.68334284321911,-1.49793855327289,-1.14845537286329,-3.24948997102722,0.0985630189821693,0.24014949952092,0.49500486355156,0.000225407894550076,-0.622264382975743,-1.62470266996858,-1.21959407791233,-0.971685573180707,-1.4571315990218,-1.08593233629187,-2.13837286155342,-2.06711113720529,-2.08212792328501,1.55725986375223,-6.65397570966662,-4.75795184845773,-0.545169737658098,2.06728228029256,-3.8344729436766,-0.897528391887951,-2.53514186851999,-3.55906647982355,-1.22676200177083,-0.301855899897301,-2.56091751069122,-4.60596341129109,-2.1625001306944,0,-0.259933673352038,-0.140250904585066,-4.553396124292,-0.155949357952327,-1.90240782176436,0,-4.89291376758686,0,-2.64712719307111,-1.6758619811432,0,0.374550943868724,-3.69298751322746,-1.68771807398674,-1.0807998628534,0,0,0,0.958538080674378,-1.02886595308804,-1.14715864970293,-3.34658116802244,0.55534046379704,-0.209922825283664,-0.18815743367043,-1.60337005809743,-1.17800069266831,-1.99448809297974,-3.55057119700173,-2.7238136333852,0.106446006718174,-0.983024410539262
"great",-0.545458398929756,1.43621679521556,-0.491999581648133,-0.20155466143221,-2.500714948834,-0.162352741696508,2.01378600015311,-1.90142940627427,-2.54062348966355,-1.58908535986392,-2.37585322788978,-0.761087830046676,0.786973578159794,0.871163323063354,0.139547666763213,-1.73814172725424,-2.29196777073745,-0.365653437816165,-2.66493990995991,-6.2284278630681,-6.04082645274182,-4.77155564889153,-1.15336173768565,-3.56124610953858,-1.97367361387081,-3.85024669433319,-2.73837998328649,-1.85230527346279,-2.81455800629696,-0.874108334142964,0.856038694567318,-3.62961300725719,0,-0.333299000266437,-3.51197643133312,-2.14563444178327,-1.35949579713732,-3.07829217934241,0,-3.81065381445471,-3.70756403396161,-3.23414905556002,0.0514679352342407,-3.78185927487824,-3.81643119752556,-2.94472337274745,-1.89845871702826,-4.8661430696411,-3.50126955755763,0,0,0.94217657864491,-0.73230889158646,-1.54359228066063,0,-1.9369557589306,-0.502882803252758,-0.514431160064938,-1.03495550587105,-2.89216733391669,0,-2.67808169014019,-1.14688100074714,-3.35399862283005,-0.265210364194124
"high",0.72044246524571,-0.155108820523297,-1.82191466203345,-1.4586048569718,-1.28774888206348,-0.590102567097961,-0.989021875021387,0.236855363178243,0.0487150615978561,-2.15799050069818,-3.6982746074359,-2.72277464545623,-1.09872714384759,-2.91869381521785,0.0568386091799145,-2.4080922707299,-2.9457482729091,-1.4380846683256,-0.776286372725866,-6.27614654109302,-4.43150188675495,-0.957860994706279,-1.82681686216802,-4.37140616072194,1.91420767917025,-3.41673561131361,-4.8780617785795,1.47052157514538,0.742141311277752,-3.0164663128959,-3.89489079451978,-3.88265604396773,-6.42488247929829,-0.360324090633098,-0.951399712913907,-4.82769355257043,-1.16407537277736,-2.08201680275503,-2.72957713057344,-5.16379520613293,-2.22990756609496,-3.72870892927275,1.81434192478022,-3.94467946651239,-2.64577342616047,-5.14175606903288,-3.41909519248701,-2.11373849427814,-1.52613054008682,0,-2.47751137595643,-1.80414226493134,-2.89149840085486,-4.37614104813181,-4.023749540335,-0.934414016243777,-0.451172258583199,-2.79365496762822,-2.79492778454524,-3.1535666502339,-2.29294802530447,-3.91523023377842,0.478985099135469,-1.67055555545188,0.397715648868803
"small",0.683835238561468,-0.196251086499593,-2.73461465484002,-1.80358888484542,-1.94300577505256,-0.925974064642465,-0.879702845523175,0.972933115501873,0.297116818265806,-1.85807708273099,-3.81154433987469,-2.08596675770382,-0.994162442802352,-2.09727825658216,-0.499884693284415,-3.45671101443778,-4.56809591266663,-2.00434543691004,-0.790869658776711,-7.26446766512309,-6.64027920008997,-1.74941590144277,-2.41955838330279,-6.06596321443954,2.56998184012441,-2.90852493528738,-4.91798504266126,0.57269482447251,0.750921559237962,-4.57658830110496,-4.46446771732264,-4.66515536383716,0,-0.561896412999479,-1.02000085680282,-4.89199985170015,-0.221516435313659,-0.486083767557656,-3.02146676733802,-5.06889127058623,-3.40778378251085,-4.69043937632162,1.72915476732887,-4.08179178587488,-2.16756045378132,0,-3.90831392788664,-3.05825089999827,-3.43828654022932,0,0,-1.4044446141058,-3.61878155803797,-3.48877364358765,0,-2.62105869315396,-1.3195511523177,-2.51782883862868,-4.7123498567913,0,0,-4.11673365834731,-2.9625890547265,-2.39803802232718,0.304596456206393
"different",0.0911408848582151,-0.217756842143939,1.15205701510049,-1.15743880881988,-4.53052736808787,-0.383976756239633,-1.81641748121445,0.257809579460792,1.26055385429137,-5.31524757278006,-3.629718264324,-1.74833108533327,-0.626801378835623,-1.35356914061515,-3.72841576422762,-0.0341870305123698,-5.72376808867073,-3.89719816320217,0.714182173428759,-3.72457315236658,-5.14077523844023,3.19823799549984,-1.18393168005733,2.27064188233985,-4.32531989524959,-1.72689442136215,2.3311556392805,-2.24478155414655,-2.58539155239797,1.93756930630732,-1.81486718155029,-2.00336390683449,0.132312045866685,-2.79967679314511,1.77805721503562,-3.8209851508898,-2.87601611181335,0.730396711885151,-2.65760846455402,-0.442764670269427,-4.44418903990166,-5.40321898496174,-0.120398833052426,-4.87477691831007,-2.22588149558321,1.38329433268141,-2.05621631209414,-3.88861355507327,1.89706079111553,-1.7884537162532,-1.54999671043762,-3.98318749903687,-1.89215321682994,0.621684568295392,-2.00051977466567,-4.41600054448456,-0.919920606101404,-5.51663157104139,-1.55028303937978,-1.92053283466486,0,3.15689236632944,-1.09864766089169,3.33360066577879,-2.06135528325315
"large",0.810005296329306,0.0310740722511043,-2.67425709933257,-1.99235532714326,-1.95555570634412,-1.62395042970818,-1.45687803532976,1.65806318805723,0.608337776575916,-2.39563462315175,-3.66363502020864,-2.71731623772609,-1.33655250304869,-3.03431382465498,-0.199478068089826,-2.73418787701297,-2.55654449518598,-3.20575508674592,-2.11363641799277,-7.65689360925714,-6.0866735589003,-1.68803946700081,-1.84665653117774,-6.42183516633682,1.52380999855957,-5.21570063995583,-5.40964743286886,0.56247079466274,1.44250202030333,-4.30734314410049,-4.91228813269646,-4.57926259039376,0,-1.0368401547507,-1.0192206667107,-5.04481737299023,-1.35797098349232,-1.79069117370402,-2.46442369217956,-5.4398970216455,-3.79873890529251,-4.57460630956757,2.79571835217415,-4.0753013956908,-0.521628791452375,0,0,-4.66952099789155,-1.21705091520922,0,-1.86677013005183,-1.58154067707529,-3.72329802637787,0,-4.65927915909456,-2.88781911907103,-1.02340273182228,-3.00375323781022,-5.11591052113071,0,0,-4.1829907811969,0.611250410719433,-2.76555577676346,-0.227179167402453
