,absolutely,completely,extremely,half,much,partially,perfectly,pretty,quite,rather,slightly,totally,very,well
able,-1.490110834,-1.977861086,-1.416471385,0,-1.424643647,-1.155328399,0.381064921,-2.194229216,-0.139193026,-0.77223873,-2.328351135,-1.858830828,-1.49296455,-0.756310406
accurate,1.378527389,2.073105557,1.918076839,1.022471646,-0.088090805,1.462502228,1.265995983,1.732788268,1.403033483,-1.319744432,-0.329258922,1.337811137,0.469016217,-1.545572959
asleep,0,0.144877245,0,5.514215386,-1.250553332,0.643546721,0,-0.641588871,0.229048155,0.570160169,0,0.487951007,-1.435445942,-0.705964834
awake,0,1.013070977,0,2.221692737,-0.034808964,0,1.166692162,0,0.817191554,0.647192555,0,0.552103621,-0.454764995,0.105693924
bent,0.314956095,-0.216967975,0,0,0.128303126,0,-0.081436818,-0.368227409,-0.028385759,0.139228925,3.635261188,0.128947818,-1.71962125,0
big,-1.736241412,-2.03890392,0.163486542,1.341681425,-2.211831012,0,-1.395670163,2.524029268,0.383204025,-1.011016974,-1.912725939,0,2.141401326,-2.461094582
bumpy,0,0,1.414805437,0,-0.466239423,0,0,1.909961108,1.350868802,1.157941779,1.994734642,0,1.641256273,-0.657300883
certain,3.609636953,0.568933412,-1.326808011,0,0.930684026,0,0,1.496022632,2.134036255,-0.924720919,-1.470472946,-0.722703816,-1.187240821,-2.208352496
clean,1.079401274,2.418811217,1.188775025,0,-0.828165512,-0.23783597,2.255324553,1.291422532,0.156969797,0.244065899,-0.765907024,1.929105447,1.18269672,-0.032653566
closed,-1.247043661,1.176795764,-1.777365165,0.972370131,-1.61053243,2.000211725,-1.442941232,-2.036658516,-2.181457708,-2.140047445,0.362264591,-0.100086013,-1.726343748,-0.717283484
dangerous,-0.844806116,-1.558517286,3.035081908,-0.595789913,0.096636633,0,0,0.107936725,0.322920167,-0.434859595,-0.041305147,0,1.81632455,-2.544190017
deep,0,0,1.321384149,0.615364788,-1.43070747,-0.062298838,0,1.604646914,0.410983634,-0.328053201,-1.325464957,0,2.016881078,-1.981738136
dirty,0,-0.155785717,2.300022879,0,-1.115018123,0,0,1.643655952,1.232352648,1.622647653,0.99885819,0,1.491785297,-0.733438435
dry,-0.719821467,3.190760087,2.208327448,0.950255432,-0.820096382,0.233944732,1.040102634,1.040206756,1.018461929,1.737251564,1.649945636,1.166540097,1.303910834,0.28858154
empty,1.214226295,2.332402244,-0.977444028,5.978641208,-0.998653818,1.399662793,0,1.270052871,-0.028175987,-0.002797846,-1.005174683,1.476047372,-0.343824629,-1.204991937
expensive,-2.080289489,-2.309635963,1.753638597,0.565521381,0.592142255,0,0,-0.089945428,0.456361594,-0.12887875,0.881925579,0,1.190636163,-2.725123804
fast,0,0,1.5456675,-0.483826793,-0.461048343,0,0,1.647921392,0.707820095,-0.954174365,0,-1.590691867,1.466294074,-2.807330475
fat,0,0,-0.080867818,0.88822066,1.716492452,0,0,-0.349414175,-0.063582351,-0.03746619,-0.69122062,0,0.216400619,-1.901079733
flat,1.766360208,1.880319122,-0.468176902,0.203072399,-0.858315519,0,3.284269579,1.922279888,0.125508428,1.67133431,1.38326382,2.242793184,0.671131852,-1.282894561
flexible,0,-0.963390025,1.345084847,0,0.612522104,0,0,0.551410626,0.713548873,-0.282213169,-0.340700073,0.810471152,1.115755603,-1.826177102
full,0.648871854,1.657577414,-0.121897204,5.865701578,-0.943634275,0.920203276,-0.625904089,1.551053889,0.341614583,-0.107392088,-0.806471042,0.303718618,0.425066895,1.255241044
impossible,1.610675455,0.581179537,-1.476122132,0,-1.003782795,0,-0.697293274,0.311973573,-0.07426477,-1.411522538,-1.451296495,1.365482979,-2.950318441,-1.622278761
impure,0,0,0,0,0,0,0,0,0,0,1.044059478,0,0.260377613,0
inaccurate,1.918030131,3.21503067,0.810061456,0,-0.559885527,2.371203254,0,0,0.382025918,0,0,4.274287647,0.163009298,0
inexpensive,0,-0.542226808,1.239785253,0,-1.632633059,0,0,0.142494699,1.16457531,0.436343744,0,0,1.560278707,0
interesting,-1.232102062,-1.715539961,1.429457896,1.463813548,0.643230774,-0.822577228,0,1.544199113,1.245471623,0.657108828,-0.887170237,-1.218274106,2.065936933,-2.235625102
likely,-2.289549722,0,-0.696173941,1.287208603,0.581963522,0,-2.224941269,-1.844858456,0.710784712,-1.054349089,-0.03713762,0,0.640502729,-2.705014163
long,-2.571876092,-2.801200921,0.482776608,-0.193734771,-1.893012836,0,-2.228657381,-0.471451525,-0.726950153,-0.660861136,-2.369792427,0,1.342897654,-2.410212236
necessary,4.224598046,-0.881653787,-0.328311923,0,-1.075761531,0,0,-1.969491103,-0.524447653,-1.044950138,-1.476092086,0.171070547,-0.316278506,-1.173530872
open,-0.633572831,1.470311841,-0.764523021,1.263211084,-0.033654182,2.000124065,-1.007900985,-0.448035343,0.045243633,-0.547622045,0.320843632,1.096005783,0.28257812,-0.816946112
pleased,-0.384454132,-1.074233249,3.355183904,0,-1.151682377,0,-0.580135068,1.328924693,2.118242802,0.671654433,-0.878811359,0.970747912,2.920044859,-0.402862837
possible,-0.38573039,-1.005264995,-1.966906027,0,0.640875852,-1.105939592,1.205920657,-2.798825477,2.025514476,-2.095368431,-2.263304881,-1.446217489,-0.288954345,-2.103370815
pure,2.474372707,1.421993658,0.587013975,0,-0.761882258,0,2.804490585,0.804948028,0.988532699,-0.326183855,-0.27531397,1.143933215,1.054778074,-1.221662649
relaxed,-0.665601411,1.174198981,0.707600403,0,1.153940829,-0.128722503,-0.06132386,1.759248536,0.496362321,-0.514705753,1.388541445,2.037795487,1.304866961,-1.184908626
safe,2.254922431,2.718243235,1.940206825,0,-1.306243231,0,3.580585971,1.91009898,0.996437725,1.15100589,-1.022440225,2.073163106,1.262354543,-1.431433212
shallow,0,0.053415678,1.671830869,0,-0.6366931,0,0,1.817512841,1.898368858,2.312384338,1.449752194,0,1.688362052,-1.271369883
short,-1.472337832,-1.644351557,1.922847276,-0.500834223,-1.49329699,0,0,0.450474087,-0.126754267,0.479494269,0.870739125,0,2.001536145,1.676232871
small,-1.722513893,-1.352581274,2.068970811,-0.093500655,-1.640677325,-0.681819888,-1.236943984,1.014471411,1.537035441,1.333471623,-1.51254712,0,2.393509943,-3.166782011
straight,2.562414186,2.267168772,-0.428766127,0.634252333,-0.624595706,0,4.77304354,2.25670163,0.129910477,-0.081390381,-0.273836183,1.91804787,1.500140731,0
strong,-1.952788929,-1.557311366,2.191888319,-0.5891932,-2.298071681,0,-1.54187065,1.870161491,1.376530034,-0.544511912,-1.778791455,-1.823065595,2.568650473,-1.978467512
